,Symbol,Expiration,Size,Strike,Spot,Received,Type,Cap,diff
387,GPS,2021/03/19,$59.65K,17.0,21.84,2021/01/16 00:11,Put,59.65,59
388,GPS,2021/03/19,$501.18K,22.0,21.84,2021/01/16 00:11,Call,501.18,59
389,GPS,2021/03/19,$76.35K,27.0,21.84,2021/01/16 00:11,Call,76.35,59
391,ITUB,2021/02/19,$50.31K,6.0,5.99,2021/01/16 00:07,Call,50.31,31
393,GM,2022/01/21,$2.75M,50.0,50.24,2021/01/16 00:07,Put,2750.0,367
394,PLUG,2023/01/20,$5.05M,30.0,59.97,2021/01/16 00:07,Put,5050.0,731
395,PLTR,2021/03/19,$1.45M,29.0,26.45,2021/01/16 00:07,Put,1450.0,59
396,CHGG,2021/03/19,$4.04M,100.0,100.63,2021/01/16 00:07,Put,4040.0,59
397,CHGG,2021/03/19,$4.34M,100.0,100.63,2021/01/16 00:07,Call,4340.0,59
398,VALE,2021/06/18,$66.98K,25.0,17.87,2021/01/16 00:06,Call,66.98,150
399,UAL,2021/06/18,$697.50K,40.0,44.69,2021/01/16 00:05,Put,697.5,150
400,MU,2021/04/16,$875.82K,85.0,80.13,2021/01/16 00:05,Call,875.82,87
401,GE,2022/01/21,$116.42K,15.0,11.42,2021/01/16 00:04,Call,116.42,367
402,GE,2022/01/21,$313.19K,15.0,11.42,2021/01/16 00:04,Call,313.19,367
404,MU,2021/04/16,$775.52K,82.5,80.15,2021/01/16 00:03,Call,775.52,87
405,SLQT,2021/02/19,$184.19K,25.0,23.03,2021/01/16 00:03,Call,184.19,31
406,HUM,2021/02/19,$3.89M,435.0,400.38,2021/01/16 00:03,Put,3890.0,31
407,HUM,2021/02/19,$444.00K,435.0,400.38,2021/01/16 00:03,Call,444.0,31
408,LVS,2021/02/19,$55.20K,67.5,55.13,2021/01/16 00:02,Call,55.2,31
409,MU,2021/04/16,$1.95M,82.5,80.14,2021/01/16 00:01,Call,1950.0,87
411,DVN,2022/01/21,$369.75K,7.74,19.31,2021/01/15 23:59,Put,369.75,367
412,DVN,2022/01/21,$647.50K,14.74,19.31,2021/01/15 23:59,Put,647.5,367
413,WDAY,2021/02/19,$1.54M,210.0,226.23,2021/01/15 23:59,Put,1540.0,31
414,FLDM,2021/05/21,$400.00K,5.0,6.11,2021/01/15 23:59,Put,400.0,122
415,FLDM,2021/05/21,$495.00K,7.5,6.11,2021/01/15 23:59,Call,495.0,122
417,PLUG,2021/02/19,$3.68M,50.0,60.19,2021/01/15 23:58,Call,3680.0,31
418,GM,2021/02/19,$103.02K,60.0,50.15,2021/01/15 23:58,Call,103.02,31
419,VALE,2021/06/18,$67.60K,25.0,17.93,2021/01/15 23:57,Call,67.6,150
421,LI,2021/01/22,$114.29K,34.5,33.14,2021/01/15 23:57,Call,114.29,3
422,WDAY,2021/02/19,$510.04K,210.0,225.67,2021/01/15 23:57,Put,510.04,31
423,GPRO,2021/04/16,$93.24K,8.0,8.63,2021/01/15 23:55,Put,93.24,87
424,EXC,2021/07/16,$555.00K,45.0,42.65,2021/01/15 23:55,Call,555.0,178
425,RL,2021/02/19,$189.00K,130.0,110.89,2021/01/15 23:53,Call,189.0,31
426,RL,2021/02/19,$513.00K,120.0,110.89,2021/01/15 23:53,Call,513.0,31
427,PFE,2021/03/19,$302.40K,40.0,36.54,2021/01/15 23:53,Call,302.4,59
428,BABA,2021/04/16,$548.86K,295.0,244.55,2021/01/15 23:52,Call,548.86,87
432,PFE,2021/02/19,$230.00K,36.0,36.54,2021/01/15 23:51,Put,230.0,31
433,BABA,2021/03/19,$1.02M,215.0,244.07,2021/01/15 23:50,Put,1020.0,59
434,NIO,2021/04/16,$914.93K,75.0,57.38,2021/01/15 23:49,Call,914.93,87
435,UAL,2022/01/21,$900.00K,42.0,44.57,2021/01/15 23:49,Put,900.0,367
436,UAL,2022/01/21,$970.00K,47.0,44.57,2021/01/15 23:49,Call,970.0,367
437,VALE,2021/04/16,$105.84K,20.0,18.0,2021/01/15 23:49,Call,105.84,87
438,TWTR,2021/09/17,$476.45K,39.0,45.87,2021/01/15 23:48,Put,476.45,241
441,OTIS,2021/02/19,$242.75K,65.0,64.43,2021/01/15 23:47,Call,242.75,31
442,PLTR,2021/03/19,$763.08K,29.0,26.91,2021/01/15 23:47,Put,763.08,59
443,RIG,2022/01/21,$390.00K,3.0,3.28,2021/01/15 23:47,Put,390.0,367
444,RIG,2022/01/21,$66.00K,1.0,3.28,2021/01/15 23:47,Put,66.0,367
445,HL,2021/03/19,$61.83K,5.5,5.38,2021/01/15 23:46,Call,61.83,59
446,NOK,2022/01/21,$314.70K,5.0,4.09,2021/01/15 23:46,Put,314.7,367
447,KMI,2021/01/22,$58.21K,15.5,15.41,2021/01/15 23:46,Put,58.21,3
448,MRK,2021/06/18,$139.11K,92.5,82.25,2021/01/15 23:46,Call,139.11,150
449,NLOK,2021/02/19,$255.00K,20.0,20.44,2021/01/15 23:46,Put,255.0,31
451,RIG,2022/01/21,$889.00K,3.0,3.26,2021/01/15 23:45,Put,889.0,367
452,RIG,2022/01/21,$133.00K,1.0,3.26,2021/01/15 23:45,Put,133.0,367
453,NOK,2023/01/20,$158.00K,5.0,4.09,2021/01/15 23:45,Put,158.0,731
454,GOLD,2021/01/22,$36.22K,23.0,23.46,2021/01/15 23:44,Put,36.22,3
455,NCLH,2021/06/18,$372.67K,22.5,25.97,2021/01/15 23:44,Put,372.67,150
456,MAG,2021/06/18,$131.30K,15.0,18.74,2021/01/15 23:43,Put,131.3,150
457,NIO,2021/01/22,$530.98K,58.0,57.81,2021/01/15 23:40,Put,530.98,3
459,PLTR,2021/05/21,$1.44M,25.0,27.26,2021/01/15 23:40,Put,1440.0,122
461,RCL,2021/02/05,$1.01M,67.0,73.78,2021/01/15 23:40,Call,1010.0,17
465,CLR,2021/02/12,$45.00K,23.0,19.13,2021/01/15 23:38,Call,45.0,24
466,FREE,2021/03/19,$252.15K,10.0,11.66,2021/01/15 23:38,Call,252.15,59
469,PLTR,2021/02/19,$305.91K,40.0,27.29,2021/01/15 23:38,Call,305.91,31
470,BABA,2021/02/19,$257.00K,280.0,244.84,2021/01/15 23:36,Call,257.0,31
471,VALE,2021/01/22,$69.03K,19.0,17.97,2021/01/15 23:36,Call,69.03,3
473,IAA,2021/04/16,$1.06M,60.0,60.18,2021/01/15 23:36,Call,1060.0,87
475,MS,2021/02/19,$78.75K,65.0,74.72,2021/01/15 23:36,Put,78.75,31
476,NIO,2021/03/19,$1.05M,55.0,57.53,2021/01/15 23:36,Put,1050.0,59
477,MS,2021/03/19,$568.75K,75.0,74.64,2021/01/15 23:34,Put,568.75,59
478,MS,2021/03/19,$493.75K,75.0,74.64,2021/01/15 23:34,Call,493.75,59
479,XOM,2021/04/16,$124.00K,55.0,47.85,2021/01/15 23:32,Call,124.0,87
482,CSCO,2021/02/19,$330.00K,45.0,45.09,2021/01/15 23:31,Put,330.0,31
483,WW,2021/02/19,$163.26K,30.0,26.19,2021/01/15 23:30,Call,163.26,31
486,HAL,2021/02/19,$322.00K,21.0,20.77,2021/01/15 23:29,Put,322.0,31
487,BABA,2021/02/19,$2.44M,225.0,242.88,2021/01/15 23:28,Call,2440.0,31
488,IFF,2021/02/19,$4.51M,150.0,116.89,2021/01/15 23:28,Put,4510.0,31
489,IFF,2021/02/19,$58.50K,150.0,116.89,2021/01/15 23:28,Call,58.5,31
491,IFF,2021/02/19,$3.42M,150.0,116.74,2021/01/15 23:28,Put,3420.0,31
492,SKT,2021/03/19,$1.38M,12.0,12.43,2021/01/15 23:28,Put,1380.0,59
493,VFF,2021/02/19,$160.00K,16.0,12.96,2021/01/15 23:27,Call,160.0,31
494,SKT,2021/03/19,$351.11K,12.0,12.45,2021/01/15 23:27,Put,351.11,59
495,VIR,2021/02/19,$414.00K,25.0,37.31,2021/01/15 23:27,Put,414.0,31
496,FOLD,2022/01/21,$2.88M,25.0,22.28,2021/01/15 23:27,Call,2880.0,367
497,LI,2021/01/22,$102.06K,34.5,32.9,2021/01/15 23:26,Call,102.06,3
498,LB,2021/03/19,$316.00K,60.0,44.23,2021/01/15 23:26,Call,316.0,59
500,LB,2021/03/19,$514.00K,50.0,44.23,2021/01/15 23:26,Call,514.0,59
501,PLTR,2021/03/19,$723.02K,29.0,27.19,2021/01/15 23:26,Put,723.02,59
502,FUBO,2021/03/19,$530.00K,45.0,33.17,2021/01/15 23:26,Call,530.0,59
504,LH,2021/02/19,$1.13M,220.0,218.48,2021/01/15 23:26,Call,1130.0,31
505,LH,2021/02/19,$1.22M,220.0,218.56,2021/01/15 23:25,Call,1220.0,31
507,MRVL,2021/01/22,$146.97K,50.0,50.58,2021/01/15 23:25,Put,146.97,3
511,LH,2021/02/19,$1.23M,220.0,218.25,2021/01/15 23:24,Call,1230.0,31
513,LH,2021/02/19,$1.21M,220.0,218.13,2021/01/15 23:22,Call,1210.0,31
514,OXY,2021/02/19,$67.09K,28.0,22.76,2021/01/15 23:20,Call,67.09,31
516,C,2021/06/18,$155.59K,50.0,65.58,2021/01/15 23:18,Put,155.59,150
517,ET,2021/02/19,$14.18K,9.0,6.95,2021/01/15 23:17,Call,14.18,31
518,GME,2021/01/22,$956.25K,40.0,35.92,2021/01/15 23:16,Put,956.25,3
519,NIO,2021/05/21,$5.00M,50.0,57.52,2021/01/15 23:16,Put,5000.0,122
520,UBER,2021/02/12,$152.10K,50.0,56.29,2021/01/15 23:15,Put,152.1,24
521,SQ,2022/01/21,$7.90M,200.0,231.15,2021/01/15 23:15,Put,7900.0,367
522,ELAN,2021/02/19,$124.06K,28.0,31.0,2021/01/15 23:14,Put,124.06,31
523,IFF,2021/01/22,$1.78M,135.0,116.92,2021/01/15 23:14,Put,1780.0,3
525,ZNGA,2021/03/19,$75.00K,10.0,9.9,2021/01/15 23:13,Call,75.0,59
526,ZNGA,2021/03/19,$112.50K,10.0,9.9,2021/01/15 23:13,Call,112.5,59
527,PDD,2021/01/29,$169.50K,190.0,158.91,2021/01/15 23:12,Call,169.5,10
528,PDD,2021/01/29,$537.00K,145.0,158.91,2021/01/15 23:12,Put,537.0,10
532,TLRY,2021/01/22,$230.78K,20.0,20.03,2021/01/15 23:10,Call,230.78,3
533,MDLZ,2021/06/18,$969.60K,60.0,57.02,2021/01/15 23:10,Call,969.6,150
534,JMIA,2021/02/19,$770.70K,45.0,44.32,2021/01/15 23:10,Put,770.7,31
538,FB,2021/02/19,$1.80M,255.0,249.25,2021/01/15 23:06,Put,1800.0,31
539,FB,2021/06/18,$1.86M,220.0,249.09,2021/01/15 23:06,Put,1860.0,150
540,PDD,2021/01/29,$260.00K,180.0,158.63,2021/01/15 23:06,Call,260.0,10
542,UAA,2021/01/22,$55.61K,18.0,18.12,2021/01/15 23:05,Put,55.61,3
543,WBA,2021/04/16,$1.12M,45.0,48.96,2021/01/15 23:04,Call,1120.0,87
544,WBA,2021/04/16,$825.97K,45.0,48.93,2021/01/15 23:04,Call,825.97,87
545,CTSH,2021/02/19,$210.00K,75.0,79.71,2021/01/15 23:04,Put,210.0,31
546,CTSH,2021/02/19,$180.00K,85.0,79.71,2021/01/15 23:04,Call,180.0,31
547,CHWY,2021/01/22,$100.71K,100.0,110.88,2021/01/15 23:03,Put,100.71,3
548,PBR,2021/04/16,$76.41K,13.0,10.98,2021/01/15 23:03,Call,76.41,87
549,NNDM,2021/02/19,$102.80K,17.5,10.49,2021/01/15 23:02,Call,102.8,31
553,GME,2021/03/19,$947.70K,34.0,36.8,2021/01/15 23:00,Put,947.7,59
554,CCL,2021/01/22,$40.00K,19.5,21.09,2021/01/15 23:00,Put,40.0,3
556,THC,2021/02/19,$481.65K,47.0,45.4,2021/01/15 22:59,Call,481.65,31
557,TWTR,2021/02/05,$105.00K,42.0,45.59,2021/01/15 22:58,Put,105.0,17
558,HL,2021/03/19,$82.25K,6.0,5.51,2021/01/15 22:58,Call,82.25,59
559,HL,2021/03/19,$15.75K,10.0,5.51,2021/01/15 22:58,Call,15.75,59
560,BB,2021/01/22,$114.11K,15.0,11.03,2021/01/15 22:58,Call,114.11,3
561,XOM,2021/02/19,$174.00K,40.0,48.47,2021/01/15 22:58,Put,174.0,31
563,RCL,2022/01/21,$81.31K,12.5,75.41,2021/01/15 22:57,Put,81.31,367
564,RCL,2022/01/21,$58.69K,12.5,75.41,2021/01/15 22:57,Put,58.69,367
566,NIO,2021/01/22,$216.43K,60.0,58.24,2021/01/15 22:56,Call,216.43,3
569,NOK,2021/03/19,$32.26K,5.0,4.13,2021/01/15 22:55,Call,32.26,59
570,VALE,2021/01/22,$24.00K,20.0,18.19,2021/01/15 22:55,Call,24.0,3
574,PVG,2022/01/21,$349.99K,12.0,10.56,2021/01/15 22:52,Put,349.99,367
575,BCS,2021/06/18,$143.64K,8.0,8.1,2021/01/15 22:51,Call,143.64,150
577,RTX,2021/02/05,$72.85K,64.0,69.51,2021/01/15 22:51,Put,72.85,17
578,FB,2021/01/29,$241.77K,220.0,251.06,2021/01/15 22:51,Put,241.77,10
579,ACIA,2021/11/19,$8.90M,70.0,114.06,2021/01/15 22:51,Call,8900.0,304
580,C,2021/09/17,$1.50M,65.0,66.57,2021/01/15 22:51,Put,1500.0,241
581,VALE,2023/01/20,$253.21K,35.0,18.2,2021/01/15 22:51,Call,253.21,731
582,KO,2022/01/21,$104.76K,60.0,48.79,2021/01/15 22:50,Call,104.76,367
583,ACIA,2021/11/19,$6.00M,85.0,114.05,2021/01/15 22:50,Call,6000.0,304
584,LUMN,2021/03/19,$49.06K,12.5,11.31,2021/01/15 22:49,Call,49.06,59
585,DD,2021/02/12,$6.06M,105.0,81.7,2021/01/15 22:48,Put,6060.0,24
586,DD,2021/02/12,$75.00K,105.0,81.7,2021/01/15 22:48,Call,75.0,24
587,APHA,2021/02/26,$290.31K,13.5,13.83,2021/01/15 22:47,Call,290.31,38
588,CLF,2021/07/16,$373.59K,18.0,17.6,2021/01/15 22:46,Call,373.59,178
591,AXTA,2021/02/19,$102.20K,27.0,29.37,2021/01/15 22:44,Put,102.2,31
592,VALE,2021/02/19,$57.00K,20.0,18.12,2021/01/15 22:44,Call,57.0,31
593,GE,2021/02/05,$97.50K,10.0,11.38,2021/01/15 22:44,Put,97.5,17
595,HEXO,2021/02/19,$47.38K,2.0,7.61,2021/01/15 22:43,Call,47.38,31
596,ATVI,2021/02/19,$282.06K,87.5,90.13,2021/01/15 22:42,Put,282.06,31
597,VALE,2021/02/19,$76.79K,20.0,18.13,2021/01/15 22:42,Call,76.79,31
598,GM,2022/01/21,$375.00K,70.0,50.65,2021/01/15 22:41,Call,375.0,367
599,CCJ,2021/07/16,$128.00K,20.0,13.38,2021/01/15 22:41,Call,128.0,178
600,NOK,2021/03/19,$24.98K,5.0,4.1,2021/01/15 22:41,Call,24.98,59
601,OXY,2021/02/19,$269.88K,22.0,23.33,2021/01/15 22:41,Call,269.88,31
602,GM,2022/01/21,$369.96K,70.0,50.44,2021/01/15 22:41,Call,369.96,367
603,FNF,2021/06/18,$285.82K,42.0,39.13,2021/01/15 22:40,Call,285.82,150
605,VALE,2021/02/05,$81.26K,19.5,18.11,2021/01/15 22:39,Call,81.26,17
606,VALE,2021/02/05,$75.70K,19.5,18.11,2021/01/15 22:39,Call,75.7,17
607,TRXC,2021/03/19,$56.00K,2.0,2.24,2021/01/15 22:39,Put,56.0,59
609,CCIV,2021/03/19,$600.00K,12.5,17.14,2021/01/15 22:38,Call,600.0,59
610,VALE,2021/01/29,$185.27K,19.0,18.21,2021/01/15 22:37,Call,185.27,10
611,GM,2022/01/21,$380.00K,70.0,50.66,2021/01/15 22:37,Call,380.0,367
613,KR,2021/02/19,$214.45K,34.0,33.26,2021/01/15 22:37,Call,214.45,31
615,VALE,2023/01/20,$359.23K,35.0,18.19,2021/01/15 22:36,Call,359.23,731
616,NOK,2021/07/16,$48.00K,4.0,4.1,2021/01/15 22:35,Put,48.0,178
617,APHA,2021/02/26,$379.71K,10.0,13.17,2021/01/15 22:34,Call,379.71,38
618,C,2021/02/19,$101.25K,60.0,67.18,2021/01/15 22:34,Put,101.25,31
619,FCX,2021/02/19,$225.38K,33.0,31.01,2021/01/15 22:34,Call,225.38,31
620,NIO,2021/01/22,$136.53K,65.0,60.04,2021/01/15 22:34,Call,136.53,3
621,SNAP,2021/03/19,$615.00K,50.0,50.55,2021/01/15 22:33,Call,615.0,59
622,KGC,2021/02/19,$72.73K,7.0,7.13,2021/01/15 22:32,Put,72.73,31
623,KGC,2021/02/19,$67.47K,7.0,7.14,2021/01/15 22:32,Put,67.47,31
628,AAL,2021/07/16,$250.00K,15.0,16.14,2021/01/15 22:31,Put,250.0,178
629,ZM,2021/01/29,$1.04M,460.0,400.99,2021/01/15 22:31,Call,1040.0,10
631,DDD,2021/01/22,$233.22K,30.0,28.7,2021/01/15 22:30,Call,233.22,3
632,KGC,2021/02/19,$46.80K,7.0,7.13,2021/01/15 22:30,Put,46.8,31
634,VALE,2021/06/18,$283.50K,17.0,18.22,2021/01/15 22:30,Put,283.5,150
636,AAL,2021/07/16,$110.00K,12.0,16.22,2021/01/15 22:30,Put,110.0,178
637,GM,2021/02/19,$147.40K,55.0,51.09,2021/01/15 22:30,Call,147.4,31
