,Symbol,Expiration,Size,Strike,Spot,Received,Type,Cap,diff,dt
113,GM,2021/06/18,$835.38K,65.0,54.51,2021/01/20 02:24,Call,835.38,149,20210119
114,JBLU,2021/02/19,$62.00K,16.0,15.11,2021/01/20 02:24,Call,62.0,30,20210119
115,UBER,2021/03/19,$1.21M,65.0,55.62,2021/01/20 02:24,Call,1210.0,58,20210119
116,ATVI,2021/03/19,$991.45K,92.5,92.43,2021/01/20 02:23,Call,991.45,58,20210119
117,TSN,2021/04/16,$256.06K,60.0,63.92,2021/01/20 02:21,Put,256.06,86,20210119
118,TSM,2021/02/19,$286.44K,150.0,131.25,2021/01/20 02:20,Call,286.44,30,20210119
119,UMC,2021/02/19,$51.99K,12.5,9.91,2021/01/20 02:18,Call,51.99,30,20210119
120,NIO,2021/02/19,$605.00K,57.5,58.02,2021/01/20 02:16,Put,605.0,30,20210119
121,EPD,2021/03/19,$57.34K,20.0,23.32,2021/01/20 02:16,Put,57.34,58,20210119
122,GOLD,2021/02/19,$503.70K,24.0,23.34,2021/01/20 02:11,Put,503.7,30,20210119
123,GOLD,2021/02/19,$266.45K,24.0,23.34,2021/01/20 02:11,Call,266.45,30,20210119
124,KIM,2021/03/19,$249.48K,15.0,16.4,2021/01/20 02:09,Put,249.48,58,20210119
125,GE,2022/01/21,$118.37K,15.0,11.56,2021/01/20 02:07,Call,118.37,366,20210119
126,OTIC,2021/03/19,$950.00K,7.5,5.16,2021/01/20 02:07,Call,950.0,58,20210119
127,BTBT,2021/02/19,$181.80K,40.0,16.74,2021/01/20 02:06,Call,181.8,30,20210119
128,DD,2021/02/12,$3.62M,105.0,83.24,2021/01/20 02:05,Put,3620.0,23,20210119
129,DD,2021/02/12,$15.00K,105.0,83.24,2021/01/20 02:05,Call,15.0,23,20210119
130,AAL,2021/02/19,$258.25K,16.0,16.15,2021/01/20 02:04,Call,258.25,30,20210119
131,AAL,2021/02/19,$298.88K,16.0,16.15,2021/01/20 02:04,Call,298.88,30,20210119
132,GME,2021/03/19,$1.76M,37.0,42.01,2021/01/20 02:01,Put,1760.0,58,20210119
133,RY,2021/07/16,$200.00K,70.0,84.93,2021/01/20 02:01,Put,200.0,177,20210119
134,FOLD,2021/02/19,$1.10M,18.0,21.66,2021/01/20 02:00,Put,1100.0,30,20210119
135,FOLD,2021/04/16,$1.03M,28.0,21.66,2021/01/20 02:00,Call,1030.0,86,20210119
136,DKNG,2021/01/22,$417.60K,50.0,51.54,2021/01/20 01:59,Put,417.6,2,20210119
137,DKNG,2021/01/29,$495.90K,50.0,51.54,2021/01/20 01:59,Put,495.9,9,20210119
138,MPW,2021/02/19,$74.66K,21.0,21.26,2021/01/20 01:58,Put,74.66,30,20210119
139,LMT,2021/03/19,$4.25M,370.0,344.9,2021/01/20 01:58,Call,4250.0,58,20210119
140,BILI,2021/02/19,$540.00K,150.0,128.77,2021/01/20 01:57,Call,540.0,30,20210119
141,BXP,2021/02/19,$76.65K,80.0,95.13,2021/01/20 01:56,Put,76.65,30,20210119
142,NIO,2021/02/19,$1.20M,57.0,57.37,2021/01/20 01:55,Put,1200.0,30,20210119
143,NIO,2021/02/19,$1.27M,57.0,57.37,2021/01/20 01:55,Call,1270.0,30,20210119
144,BB,2021/01/22,$45.85K,14.0,11.65,2021/01/20 01:54,Call,45.85,2,20210119
145,BB,2021/01/22,$130.42K,14.0,11.67,2021/01/20 01:54,Call,130.42,2,20210119
146,BB,2021/01/22,$63.94K,14.0,11.68,2021/01/20 01:54,Call,63.94,2,20210119
147,JPM,2021/03/19,$4.11M,140.0,138.81,2021/01/20 01:53,Call,4110.0,58,20210119
148,JPM,2021/03/19,$4.81M,140.0,138.81,2021/01/20 01:53,Put,4810.0,58,20210119
149,SKT,2021/03/19,$456.00K,13.0,13.3,2021/01/20 01:52,Put,456.0,58,20210119
150,SKT,2021/03/19,$126.00K,10.0,13.3,2021/01/20 01:52,Put,126.0,58,20210119
151,PFE,2023/01/20,$220.00K,60.0,36.8,2021/01/20 01:52,Call,220.0,730,20210119
152,CCJ,2021/03/19,$675.00K,15.0,12.79,2021/01/20 01:52,Call,675.0,58,20210119
153,CCJ,2021/03/19,$1.56M,13.0,12.79,2021/01/20 01:52,Call,1560.0,58,20210119
154,TSN,2021/07/16,$755.73K,62.5,64.28,2021/01/20 01:51,Put,755.73,177,20210119
155,IRBT,2021/02/19,$264.00K,75.0,92.05,2021/01/20 01:49,Put,264.0,30,20210119
156,IRBT,2021/03/19,$1.33M,90.0,92.05,2021/01/20 01:49,Put,1330.0,58,20210119
157,LYFT,2021/01/22,$135.10K,50.0,49.44,2021/01/20 01:49,Call,135.1,2,20210119
158,TRGP,2021/02/19,$98.09K,33.0,30.04,2021/01/20 01:48,Call,98.09,30,20210119
159,LYFT,2021/01/22,$200.20K,50.0,49.49,2021/01/20 01:48,Call,200.2,2,20210119
160,FAST,2021/02/19,$90.20K,47.1,50.46,2021/01/20 01:45,Put,90.2,30,20210119
161,AMC,2021/02/19,$44.00K,2.5,3.01,2021/01/20 01:45,Put,44.0,30,20210119
162,SPCE,2021/02/19,$226.53K,42.0,30.72,2021/01/20 01:40,Call,226.53,30,20210119
163,MAC,2021/03/19,$87.85K,20.0,14.65,2021/01/20 01:40,Call,87.85,58,20210119
164,MAC,2021/03/19,$56.71K,10.0,14.65,2021/01/20 01:40,Put,56.71,58,20210119
165,WMT,2021/02/19,$302.00K,141.0,143.66,2021/01/20 01:38,Put,302.0,30,20210119
166,WMT,2021/02/19,$342.00K,142.0,143.66,2021/01/20 01:38,Put,342.0,30,20210119
167,GLUU,2021/06/18,$120.00K,12.0,9.54,2021/01/20 01:38,Call,120.0,149,20210119
168,VIR,2021/02/19,$336.00K,25.0,39.04,2021/01/20 01:34,Put,336.0,30,20210119
169,GM,2021/02/19,$300.00K,60.0,54.88,2021/01/20 01:33,Call,300.0,30,20210119
170,CCX,2021/05/21,$150.70K,17.5,10.68,2021/01/20 01:32,Call,150.7,121,20210119
171,GM,2021/02/19,$281.40K,60.0,54.94,2021/01/20 01:32,Call,281.4,30,20210119
172,MGM,2021/06/18,$553.50K,30.0,30.76,2021/01/20 01:32,Put,553.5,149,20210119
173,MGM,2021/04/16,$396.00K,30.0,30.76,2021/01/20 01:32,Put,396.0,86,20210119
174,GM,2021/03/19,$485.00K,55.0,54.83,2021/01/20 01:29,Call,485.0,58,20210119
175,GM,2021/03/19,$128.00K,70.0,54.83,2021/01/20 01:29,Call,128.0,58,20210119
176,TEVA,2021/02/19,$307.06K,12.0,12.49,2021/01/20 01:28,Call,307.06,30,20210119
177,GM,2021/02/19,$199.68K,60.0,54.76,2021/01/20 01:26,Call,199.68,30,20210119
178,BB,2021/01/22,$106.80K,13.0,11.74,2021/01/20 01:26,Call,106.8,2,20210119
179,BB,2021/01/22,$159.76K,13.0,11.74,2021/01/20 01:26,Call,159.76,2,20210119
180,BB,2021/01/22,$71.44K,13.0,11.78,2021/01/20 01:25,Call,71.44,2,20210119
181,LB,2021/03/19,$325.00K,43.0,45.35,2021/01/20 01:24,Put,325.0,58,20210119
182,JPM,2021/03/19,$3.82M,140.0,138.78,2021/01/20 01:23,Call,3820.0,58,20210119
183,JPM,2021/03/19,$4.47M,140.0,138.78,2021/01/20 01:23,Put,4470.0,58,20210119
184,PLTR,2021/03/19,$1.28M,29.0,26.23,2021/01/20 01:22,Put,1280.0,58,20210119
185,RIOT,2021/01/22,$76.50K,32.0,25.43,2021/01/20 01:20,Call,76.5,2,20210119
186,RIOT,2021/01/22,$56.87K,32.0,25.49,2021/01/20 01:20,Call,56.87,2,20210119
187,UA,2021/02/19,$285.00K,15.0,15.52,2021/01/20 01:20,Put,285.0,30,20210119
188,UA,2021/02/19,$240.00K,16.5,15.52,2021/01/20 01:20,Call,240.0,30,20210119
189,BTBT,2021/02/19,$150.84K,40.0,15.86,2021/01/20 01:19,Call,150.84,30,20210119
190,SKT,2021/02/19,$110.92K,14.0,13.45,2021/01/20 01:16,Call,110.92,30,20210119
191,CLDT,2021/03/19,$104.00K,12.5,12.14,2021/01/20 01:15,Call,104.0,58,20210119
192,PAAS,2021/03/19,$331.07K,29.0,29.52,2021/01/20 01:13,Put,331.07,58,20210119
193,PAAS,2021/03/19,$171.47K,26.0,29.52,2021/01/20 01:13,Put,171.47,58,20210119
194,MAXR,2021/02/19,$169.00K,75.0,54.44,2021/01/20 01:13,Call,169.0,30,20210119
195,GM,2021/03/19,$303.00K,45.0,54.8,2021/01/20 01:12,Put,303.0,58,20210119
196,WY,2021/02/19,$93.32K,35.0,32.69,2021/01/20 01:12,Call,93.32,30,20210119
197,WY,2021/02/19,$105.74K,35.0,32.69,2021/01/20 01:12,Call,105.74,30,20210119
198,PBR,2021/07/16,$105.00K,10.0,10.79,2021/01/20 01:12,Put,105.0,177,20210119
199,EPD,2021/06/18,$60.00K,26.0,23.28,2021/01/20 01:12,Call,60.0,149,20210119
200,EPD,2021/03/19,$70.00K,24.0,23.28,2021/01/20 01:12,Call,70.0,58,20210119
201,CCIV,2021/03/19,$37.27K,10.0,18.1,2021/01/20 01:10,Put,37.27,58,20210119
202,OPEN,2021/02/19,$1.75M,10.0,26.35,2021/01/20 01:10,Call,1750.0,30,20210119
203,OPEN,2021/02/19,$2.46M,10.0,26.35,2021/01/20 01:10,Call,2460.0,30,20210119
204,OPEN,2021/02/19,$3.27M,10.0,26.35,2021/01/20 01:10,Call,3270.0,30,20210119
205,OPEN,2021/02/19,$2.02M,10.0,26.35,2021/01/20 01:10,Call,2020.0,30,20210119
206,PLTR,2021/03/19,$864.36K,29.0,26.21,2021/01/20 01:09,Put,864.36,58,20210119
207,NIO,2022/01/21,$9.50M,65.0,56.78,2021/01/20 01:07,Call,9500.0,366,20210119
208,SKT,2021/02/19,$47.85K,11.0,13.42,2021/01/20 01:05,Put,47.85,30,20210119
209,SKT,2021/03/19,$88.45K,16.0,13.42,2021/01/20 01:05,Call,88.45,58,20210119
210,BB,2021/01/22,$91.54K,12.5,11.7,2021/01/20 01:03,Call,91.54,2,20210119
211,CSCO,2021/03/19,$58.80K,40.0,45.23,2021/01/20 01:02,Put,58.8,58,20210119
212,PLTR,2021/03/19,$1.82M,29.0,26.34,2021/01/20 01:02,Put,1820.0,58,20210119
213,XOM,2021/05/21,$345.00K,50.0,49.23,2021/01/20 01:01,Call,345.0,121,20210119
214,CMCSA,2021/10/15,$585.00K,55.0,48.78,2021/01/20 01:01,Call,585.0,268,20210119
215,CMCSA,2021/10/15,$1.26M,47.5,48.78,2021/01/20 01:01,Put,1260.0,268,20210119
216,JPM,2021/06/18,$163.00K,105.0,138.99,2021/01/20 01:00,Put,163.0,149,20210119
217,TELL,2021/02/19,$45.00K,2.5,2.61,2021/01/20 00:58,Put,45.0,30,20210119
218,EPAM,2021/02/19,$520.38K,280.0,348.95,2021/01/20 00:58,Put,520.38,30,20210119
219,UHS,2021/03/19,$651.95K,135.0,129.89,2021/01/20 00:54,Call,651.95,58,20210119
220,PLUG,2021/03/19,$2.75M,65.0,64.78,2021/01/20 00:54,Put,2750.0,58,20210119
221,CCL,2021/02/26,$200.00K,21.5,21.07,2021/01/20 00:54,Put,200.0,37,20210119
222,DIS,2022/01/21,$9.88M,150.0,172.42,2021/01/20 00:53,Put,9880.0,366,20210119
223,DIS,2022/01/21,$10.28M,200.0,172.42,2021/01/20 00:53,Call,10280.0,366,20210119
224,TEVA,2021/02/19,$298.81K,12.0,12.55,2021/01/20 00:52,Call,298.81,30,20210119
225,LVS,2021/02/05,$560.70K,55.0,54.23,2021/01/20 00:51,Call,560.7,16,20210119
226,TLRY,2021/03/19,$1.81M,6.0,18.85,2021/01/20 00:51,Call,1810.0,58,20210119
227,GM,2021/06/18,$262.00K,40.0,54.79,2021/01/20 00:48,Put,262.0,149,20210119
228,AMRN,2021/02/19,$174.42K,6.0,6.39,2021/01/20 00:47,Call,174.42,30,20210119
229,BE,2022/01/21,$1.03M,35.0,38.76,2021/01/20 00:46,Put,1030.0,366,20210119
230,GM,2021/01/29,$142.40K,60.0,54.93,2021/01/20 00:45,Call,142.4,9,20210119
231,GM,2021/01/29,$228.80K,57.0,54.93,2021/01/20 00:45,Call,228.8,9,20210119
232,BP,2021/03/19,$130.00K,24.0,24.68,2021/01/20 00:45,Put,130.0,58,20210119
233,PAAS,2021/04/16,$80.38K,55.0,29.61,2021/01/20 00:44,Call,80.38,86,20210119
