,Symbol,u_cnt,cnt,call,put,recent_7,if,call_ratio
392,FDX,2,2,2.0,,0,0,1.0
58,AMBC,2,4,4.0,,2,1,1.0
109,AYX,2,4,1.0,3.0,0,0,0.25
395,FHN,2,3,3.0,,1,0,1.0
396,FICO,2,3,3.0,,0,0,1.0
401,FIZZ,2,5,,5.0,0,0,
321,DNMR,2,3,1.0,2.0,0,0,0.3333333333333333
389,FCAC,2,2,1.0,1.0,1,1,0.5
237,CNP,2,2,1.0,1.0,0,0,0.5
140,BILL,2,2,1.0,1.0,0,0,0.5
162,BTG,2,2,2.0,,1,0,1.0
165,BW,2,4,3.0,1.0,3,0,0.75
14,ACI,2,2,1.0,1.0,1,1,0.5
11,ABUS,2,3,2.0,1.0,0,0,0.6666666666666666
167,BX,2,3,3.0,,0,0,1.0
480,GXGX,2,3,3.0,,1,0,1.0
481,HA,2,7,7.0,,0,0,1.0
214,CIM,2,2,1.0,1.0,1,0,0.5
210,CHS,2,2,1.0,1.0,1,0,0.5
208,CHGG,2,4,2.0,2.0,2,0,0.5
207,CHEF,2,4,4.0,,0,0,1.0
18,ADBE,2,3,3.0,,2,0,1.0
169,BXP,2,2,,2.0,0,0,
492,HIBB,2,3,2.0,1.0,1,0,0.6666666666666666
493,HIG,2,2,2.0,,0,0,1.0
199,CERS,2,3,2.0,1.0,2,0,0.6666666666666666
196,CDEV,2,2,2.0,,0,0,1.0
173,BZUN,2,2,2.0,,0,0,1.0
175,CALX,2,2,,2.0,1,0,
178,CARA,2,3,2.0,1.0,0,0,0.6666666666666666
179,CARG,2,2,2.0,,1,0,1.0
186,CCAC,2,5,4.0,1.0,0,0,0.8
184,CBRE,2,5,5.0,,0,0,1.0
497,HLF,2,2,2.0,,1,0,1.0
181,CARS,2,2,2.0,,1,0,1.0
499,HMY,2,2,2.0,,0,0,1.0
501,HOME,2,4,,4.0,0,0,
502,HON,2,3,2.0,1.0,0,0,0.6666666666666666
217,CLDT,2,2,2.0,,0,0,1.0
164,BUD,2,2,,2.0,2,1,
