No.,No.链接,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
61,https://finviz.com/quote.ashx?t=EVI&ty=c&p=d&b=1,EVI,-8.77%,-9.53%,8.24%,49.14%,73.60%,22.43%,5.01%,6.76%,-,28.03K,0.63,36.63,-1.05%,"18,139"
62,https://finviz.com/quote.ashx?t=FIZZ&ty=c&p=d&b=1,FIZZ,-5.51%,-26.45%,5.09%,26.69%,143.27%,13.99%,6.99%,7.79%,4.00,1.26M,0.45,48.39,0.02%,"570,081"
63,https://finviz.com/quote.ashx?t=FLGT&ty=c&p=d&b=1,FLGT,-15.94%,-32.72%,106.57%,213.90%,450.03%,78.10%,12.13%,15.18%,2.50,2.10M,0.76,92.79,-10.56%,"1,610,057"
64,https://finviz.com/quote.ashx?t=FLWS&ty=c&p=d&b=1,FLWS,-14.99%,-16.04%,12.29%,-12.06%,45.41%,1.23%,6.88%,6.44%,1.90,989.33K,1.40,26.32,-5.66%,"1,363,484"
65,https://finviz.com/quote.ashx?t=FLXN&ty=c&p=d&b=1,FLXN,0.63%,-12.97%,5.23%,-3.34%,-26.15%,-2.34%,4.64%,4.93%,1.80,549.27K,1.26,11.27,1.71%,"686,074"
66,https://finviz.com/quote.ashx?t=FUBO&ty=c&p=d&b=1,FUBO,-13.37%,-34.85%,23.25%,248.37%,273.52%,21.93%,11.62%,9.77%,1.70,24.35M,1.12,34.14,-18.50%,"28,315,524"
67,https://finviz.com/quote.ashx?t=FUTU&ty=c&p=d&b=1,FUTU,-13.11%,37.50%,227.39%,348.80%,1094.21%,215.58%,10.90%,12.99%,1.80,8.38M,1.13,144.38,-8.22%,"9,596,727"
68,https://finviz.com/quote.ashx?t=FUV&ty=c&p=d&b=1,FUV,-12.82%,-27.73%,22.96%,173.93%,906.06%,25.47%,13.13%,14.38%,2.20,2.76M,0.75,16.60,-10.17%,"2,078,292"
69,https://finviz.com/quote.ashx?t=GBT&ty=c&p=d&b=1,GBT,-13.97%,-14.49%,-7.82%,-32.59%,-30.95%,-2.29%,6.73%,5.05%,2.00,1.13M,0.53,42.32,-3.88%,"611,289"
70,https://finviz.com/quote.ashx?t=GDRX&ty=c&p=d&b=1,GDRX,-8.55%,-12.89%,15.46%,-,-,7.91%,6.88%,6.90%,2.30,1.98M,0.98,43.53,-4.56%,"1,955,966"
71,https://finviz.com/quote.ashx?t=GEO&ty=c&p=d&b=1,GEO,3.28%,-15.91%,-20.00%,-32.26%,-52.81%,-14.67%,4.74%,4.92%,2.00,4.61M,0.77,7.56,1.48%,"3,540,012"
72,https://finviz.com/quote.ashx?t=GES&ty=c&p=d&b=1,GES,-5.37%,11.55%,51.28%,120.87%,63.98%,12.29%,5.27%,4.61%,2.20,832.52K,0.52,25.40,0.00%,"454,477"
73,https://finviz.com/quote.ashx?t=GME&ty=c&p=d&b=1,GME,35.41%,-44.81%,649.88%,1758.98%,3320.94%,559.13%,42.94%,39.23%,3.50,40.29M,0.47,124.18,5.08%,"19,273,882"
74,https://finviz.com/quote.ashx?t=GOGO&ty=c&p=d&b=1,GOGO,-16.16%,-8.10%,6.55%,118.48%,247.68%,16.61%,9.12%,9.44%,3.00,3.44M,0.60,11.23,-3.69%,"2,083,096"
75,https://finviz.com/quote.ashx?t=GPRE&ty=c&p=d&b=1,GPRE,-4.61%,21.76%,68.06%,85.65%,106.66%,88.61%,10.27%,7.65%,2.00,997.10K,1.42,24.84,-9.61%,"1,393,475"
76,https://finviz.com/quote.ashx?t=GRCL&ty=c&p=d&b=1,GRCL,-2.18%,9.08%,-,-,-,-5.07%,6.35%,9.09%,-,338.11K,0.03,23.79,-1.29%,"10,791"
77,https://finviz.com/quote.ashx?t=GSX&ty=c&p=d&b=1,GSX,-8.45%,-9.80%,35.34%,1.89%,101.93%,68.27%,10.33%,7.91%,3.20,6.19M,1.84,87.01,-11.59%,"11,315,154"
78,https://finviz.com/quote.ashx?t=GTHX&ty=c&p=d&b=1,GTHX,-13.13%,-19.41%,19.61%,42.28%,25.09%,21.40%,9.12%,9.14%,1.70,1.61M,1.35,21.84,-6.63%,"2,174,674"
79,https://finviz.com/quote.ashx?t=HIBB&ty=c&p=d&b=1,HIBB,-7.77%,9.80%,53.05%,88.78%,222.56%,36.41%,5.64%,5.44%,2.70,467.20K,0.94,62.99,-1.49%,"443,102"
80,https://finviz.com/quote.ashx?t=HRTX&ty=c&p=d&b=1,HRTX,-10.51%,-5.68%,-0.29%,20.84%,-6.39%,-18.36%,6.33%,5.30%,1.60,1.06M,0.79,17.28,-2.26%,"835,543"
81,https://finviz.com/quote.ashx?t=HUYA&ty=c&p=d&b=1,HUYA,-7.43%,1.78%,27.11%,-8.43%,36.91%,31.96%,7.37%,8.53%,2.40,3.62M,0.43,26.30,-3.94%,"1,583,587"
82,https://finviz.com/quote.ashx?t=ICPT&ty=c&p=d&b=1,ICPT,-27.45%,-43.77%,-41.57%,-58.40%,-77.97%,-15.99%,12.80%,7.32%,2.60,1.13M,1.19,20.75,-4.16%,"1,335,702"
83,https://finviz.com/quote.ashx?t=IEA&ty=c&p=d&b=1,IEA,-10.74%,-22.47%,22.59%,193.80%,389.97%,-5.67%,9.59%,8.29%,2.00,1.12M,0.95,15.63,-8.76%,"1,067,282"
84,https://finviz.com/quote.ashx?t=IMGN&ty=c&p=d&b=1,IMGN,-4.82%,17.19%,59.45%,134.86%,97.05%,34.73%,6.18%,8.13%,2.10,2.86M,0.82,8.69,-4.19%,"2,341,504"
85,https://finviz.com/quote.ashx?t=INFN&ty=c&p=d&b=1,INFN,-2.22%,-7.60%,9.22%,26.75%,30.51%,-11.83%,4.83%,5.05%,2.70,3.30M,0.69,9.24,-1.60%,"2,318,098"
86,https://finviz.com/quote.ashx?t=INO&ty=c&p=d&b=1,INO,-20.40%,-43.63%,-21.77%,-20.27%,28.32%,8.02%,9.67%,11.40%,2.70,15.77M,1.00,9.56,-4.59%,"15,931,103"
87,https://finviz.com/quote.ashx?t=INSG&ty=c&p=d&b=1,INSG,-39.06%,-49.76%,-3.52%,-16.55%,44.93%,-38.07%,13.16%,8.30%,2.00,5.00M,2.50,9.58,-9.45%,"12,215,407"
88,https://finviz.com/quote.ashx?t=IPOE&ty=c&p=d&b=1,IPOE,-11.28%,-33.20%,64.31%,-,-,38.42%,8.43%,7.75%,-,7.92M,0.91,17.22,-8.26%,"7,175,490"
89,https://finviz.com/quote.ashx?t=IQ&ty=c&p=d&b=1,IQ,6.11%,20.56%,18.02%,21.89%,12.97%,50.97%,4.10%,5.50%,2.70,11.94M,0.51,26.39,1.77%,"6,201,737"
90,https://finviz.com/quote.ashx?t=IRBT&ty=c&p=d&b=1,IRBT,-3.00%,-3.23%,51.01%,59.99%,140.98%,47.52%,5.38%,6.56%,3.00,1.12M,0.48,118.44,0.25%,"534,212"
91,https://finviz.com/quote.ashx?t=JWN&ty=c&p=d&b=1,JWN,-3.00%,1.26%,39.93%,126.69%,8.46%,16.21%,5.87%,5.22%,3.00,4.87M,1.49,36.27,-3.49%,"7,348,419"
92,https://finviz.com/quote.ashx?t=KALA&ty=c&p=d&b=1,KALA,-15.51%,-1.50%,1.14%,-15.22%,25.96%,11.28%,8.59%,8.10%,1.70,2.26M,1.14,7.55,2.51%,"2,556,190"
93,https://finviz.com/quote.ashx?t=KDMN&ty=c&p=d&b=1,KDMN,-5.46%,-8.57%,5.28%,-8.20%,-4.18%,10.60%,7.21%,6.59%,1.70,3.37M,0.67,4.59,-1.92%,"2,241,579"
94,https://finviz.com/quote.ashx?t=KLDO&ty=c&p=d&b=1,KLDO,-0.20%,-28.11%,24.62%,56.12%,48.79%,7.91%,8.79%,9.86%,2.30,260.05K,0.83,9.82,2.51%,"213,013"
95,https://finviz.com/quote.ashx?t=KNDI&ty=c&p=d&b=1,KNDI,-9.93%,-20.09%,-30.33%,1.04%,107.32%,-1.45%,6.45%,7.40%,-,7.35M,0.38,6.80,-5.03%,"2,819,234"
96,https://finviz.com/quote.ashx?t=KODK&ty=c&p=d&b=1,KODK,-6.38%,-15.07%,11.53%,42.31%,189.46%,4.55%,9.57%,10.90%,-,10.00M,0.45,8.51,-7.20%,"4,471,240"
97,https://finviz.com/quote.ashx?t=KPTI&ty=c&p=d&b=1,KPTI,-16.62%,-19.87%,-27.37%,-18.87%,-49.99%,-20.28%,5.75%,5.14%,1.70,2.93M,1.08,12.34,-6.44%,"3,165,638"
98,https://finviz.com/quote.ashx?t=LEGN&ty=c&p=d&b=1,LEGN,-8.71%,-5.22%,-13.25%,-24.15%,-,-8.42%,6.45%,5.62%,1.70,367.00K,0.37,25.79,-1.86%,"139,026"
99,https://finviz.com/quote.ashx?t=LGND&ty=c&p=d&b=1,LGND,0.99%,-17.91%,75.17%,44.89%,44.35%,48.61%,7.50%,9.03%,2.20,647.96K,0.39,147.79,-3.32%,"254,410"
100,https://finviz.com/quote.ashx?t=LOVE&ty=c&p=d&b=1,LOVE,-5.39%,3.77%,85.60%,123.54%,586.43%,37.32%,10.23%,8.81%,1.40,412.35K,0.62,59.17,-4.18%,"255,502"
101,https://finviz.com/quote.ashx?t=LPSN&ty=c&p=d&b=1,LPSN,-2.46%,-9.28%,0.39%,-1.69%,135.83%,-5.75%,6.97%,5.71%,2.10,874.73K,1.14,58.65,-9.35%,"1,006,129"
102,https://finviz.com/quote.ashx?t=LTHM&ty=c&p=d&b=1,LTHM,-8.19%,-3.35%,23.47%,120.87%,114.30%,-0.58%,8.42%,7.77%,2.80,3.94M,0.65,18.73,-4.15%,"2,599,506"
103,https://finviz.com/quote.ashx?t=MAC&ty=c&p=d&b=1,MAC,-1.16%,-2.71%,36.30%,71.88%,-30.24%,27.74%,7.30%,6.85%,3.40,8.30M,1.14,13.63,4.85%,"9,469,630"
104,https://finviz.com/quote.ashx?t=MARA&ty=c&p=d&b=1,MARA,9.61%,76.57%,483.12%,1376.61%,3968.89%,250.77%,17.31%,15.34%,-,39.79M,0.46,36.62,4.96%,"18,558,708"
105,https://finviz.com/quote.ashx?t=MAXN&ty=c&p=d&b=1,MAXN,-14.61%,-24.05%,24.94%,46.82%,-,7.54%,14.63%,11.39%,2.70,693.06K,0.71,30.51,-9.03%,"495,116"
106,https://finviz.com/quote.ashx?t=MCS&ty=c&p=d&b=1,MCS,2.56%,13.05%,74.19%,30.50%,-21.65%,51.71%,5.54%,5.37%,1.70,769.07K,0.78,20.45,2.92%,"632,909"
107,https://finviz.com/quote.ashx?t=MDGL&ty=c&p=d&b=1,MDGL,-8.70%,-3.34%,-4.00%,4.10%,28.39%,0.85%,4.40%,4.54%,2.10,199.14K,0.53,112.12,-1.95%,"105,436"
108,https://finviz.com/quote.ashx?t=MDVL&ty=c&p=d&b=1,MDVL,7.89%,19.75%,-10.46%,-2.38%,12.90%,3.52%,6.72%,8.42%,2.00,108.39K,0.29,15.58,-0.32%,"30,969"
109,https://finviz.com/quote.ashx?t=MGPI&ty=c&p=d&b=1,MGPI,-9.34%,6.66%,44.42%,77.16%,113.27%,33.83%,6.22%,5.51%,2.00,118.90K,0.91,62.98,-2.51%,"107,730"
110,https://finviz.com/quote.ashx?t=MIK&ty=c&p=d&b=1,MIK,48.18%,43.64%,122.65%,95.73%,469.73%,69.25%,10.46%,6.68%,3.10,6.11M,10.48,22.02,22.20%,"59,384,564"
111,https://finviz.com/quote.ashx?t=MREO&ty=c&p=d&b=1,MREO,3.98%,48.23%,71.31%,39.80%,137.50%,16.76%,12.47%,12.64%,1.00,3.61M,0.76,4.18,-5.64%,"2,742,205"
112,https://finviz.com/quote.ashx?t=MRNS&ty=c&p=d&b=1,MRNS,10.78%,29.96%,3.46%,111.86%,58.69%,34.75%,5.96%,5.94%,1.50,460.81K,0.79,16.44,1.92%,"366,730"
113,https://finviz.com/quote.ashx?t=MSGN&ty=c&p=d&b=1,MSGN,10.85%,10.66%,56.51%,95.07%,47.86%,28.90%,7.27%,5.76%,3.20,626.36K,1.05,19.00,2.93%,"653,307"
114,https://finviz.com/quote.ashx?t=MSTR&ty=c&p=d&b=1,MSTR,-10.53%,15.29%,113.43%,406.49%,444.36%,88.28%,12.09%,12.79%,5.00,1.06M,0.73,731.57,-2.26%,"772,060"
115,https://finviz.com/quote.ashx?t=MUX&ty=c&p=d&b=1,MUX,-12.30%,-26.71%,9.28%,-15.08%,5.94%,8.63%,7.53%,8.25%,2.00,7.60M,0.74,1.07,-5.31%,"5,567,862"
116,https://finviz.com/quote.ashx?t=NK&ty=c&p=d&b=1,NK,-18.59%,31.71%,177.45%,264.11%,429.48%,99.40%,13.12%,13.38%,2.00,2.46M,0.43,26.58,-6.28%,"1,063,174"
117,https://finviz.com/quote.ashx?t=NKLA&ty=c&p=d&b=1,NKLA,-21.83%,-29.65%,-18.96%,-59.47%,43.83%,8.39%,8.17%,6.73%,2.70,15.47M,0.90,16.54,-7.55%,"14,047,491"
118,https://finviz.com/quote.ashx?t=NLS&ty=c&p=d&b=1,NLS,1.15%,-27.46%,-8.63%,62.70%,551.35%,6.28%,9.00%,10.38%,1.80,2.24M,0.91,19.28,-5.63%,"2,051,518"
119,https://finviz.com/quote.ashx?t=NNDM&ty=c&p=d&b=1,NNDM,-25.80%,-37.98%,37.03%,431.52%,590.82%,-3.63%,12.67%,11.29%,2.00,33.22M,0.87,8.77,-8.74%,"29,701,336"
120,https://finviz.com/quote.ashx?t=NTLA&ty=c&p=d&b=1,NTLA,-9.43%,-10.04%,46.96%,167.42%,328.12%,6.08%,11.83%,9.14%,2.20,1.75M,0.81,57.71,-6.87%,"1,427,880"
