Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
RING ENERGY,REI,Sell,Filled,100,100,@1.11,1.11,DAY,01/13/2021 10:11:13 EST,01/13/2021 10:11:14 EST
CyberOptics,CYBE,Sell,Filled,20,20,@24.07,24.07,DAY,01/13/2021 09:44:05 EST,01/13/2021 11:15:29 EST
Energous,WATT,Sell,Cancelled,0,100,2.70,,GTC,01/13/2021 09:37:40 EST,
Energous,WATT,Sell,Cancelled,0,100,@3.43,,GTC,01/13/2021 09:37:40 EST,
Canoo Inc,GOEV,Sell,Filled,10,10,@18.73,18.73,DAY,01/13/2021 09:35:29 EST,01/13/2021 09:38:25 EST
Experience Investment Corp,EXPC,Sell,Filled,20,20,@13.87,13.87,DAY,01/13/2021 09:33:54 EST,01/13/2021 09:33:55 EST
EHang Holdings Ltd,EH,Buy,Filled,5,5,@33.00,33.00,DAY,01/13/2021 05:11:14 EST,01/13/2021 05:24:41 EST
Canoo Inc,GOEV,Sell,Filled,20,20,@21.55,21.55,DAY,01/13/2021 05:10:34 EST,01/13/2021 05:10:45 EST
CyberOptics,CYBE,Sell,Cancelled,0,15,@25.00,,DAY,01/13/2021 05:06:52 EST,
Experience Investment Corp,EXPC,Sell,Filled,30,30,@14.40,14.40,DAY,01/12/2021 19:25:31 EST,01/12/2021 19:33:09 EST
Energous,WATT,Buy,Cancelled,0,100,@2.70,,DAY,01/11/2021 10:27:37 EST,
Energous,WATT,Buy,Filled,100,100,@2.80,2.80,DAY,01/11/2021 10:14:38 EST,01/11/2021 10:16:04 EST
Canoo Inc,GOEV,Buy,Filled,50,50,@16.24,16.24,DAY,01/11/2021 09:57:51 EST,01/11/2021 09:59:01 EST
LITHIUM AMERS,LAC,Sell,Filled,25,25,@17.03,17.03,DAY,01/11/2021 09:32:17 EST,01/11/2021 09:32:17 EST
AGEAGLE AERIAL,UAVS,Sell,Cancelled,0,100,5.80,,GTC,01/11/2021 09:31:24 EST,
AGEAGLE AERIAL,UAVS,Sell,Cancelled,0,100,@7.58,,GTC,01/11/2021 09:31:24 EST,
Eargo  Inc.,EAR,Buy,Filled,10,10,@49.50,49.50,DAY,01/08/2021 12:53:23 EST,01/08/2021 12:53:42 EST
Alto Ingredients Inc,ALTO,Buy,Filled,50,50,@6.30,6.30,DAY,01/08/2021 12:29:01 EST,01/08/2021 12:29:01 EST
QuantumScape Corp,QS,Sell,Filled,8,8,@57.80,57.80,DAY,01/08/2021 12:27:12 EST,01/08/2021 12:27:13 EST
Exone,XONE,Buy,Filled,55,55,@14.46,14.46,DAY,01/08/2021 11:56:10 EST,01/08/2021 11:56:16 EST
Stable Road Acquisition Corp,SRAC,Buy,Filled,20,20,@15.95,15.95,DAY,01/08/2021 11:23:57 EST,01/08/2021 11:24:11 EST
InterPrivate Acquisition Corp,IPV,Sell,Filled,50,50,@18.20,18.20,DAY,01/08/2021 10:36:55 EST,01/08/2021 10:39:23 EST
Experience Investment Corp,EXPC,Buy,Cancelled,0,50,@11.70,,DAY,01/08/2021 10:28:20 EST,
Oblong Inc,OBLG,Sell,Filled,50,50,@4.50,4.50,GTC,01/08/2021 09:52:03 EST,01/08/2021 10:02:49 EST
Oblong Inc,OBLG,Sell,Cancelled,0,50,@5.06,,GTC,01/08/2021 09:52:03 EST,
fuboTV Inc.,FUBO,Sell,Filled,10,10,@28.82,28.82,DAY,01/08/2021 09:46:09 EST,01/08/2021 09:46:10 EST
LITHIUM AMERS,LAC,Sell,Filled,20,20,@17.79,17.79,DAY,01/08/2021 09:39:48 EST,01/08/2021 09:40:48 EST
RING ENERGY,REI,Sell,Cancelled,0,500,0.880,,GTC,01/08/2021 09:32:37 EST,
RING ENERGY,REI,Sell,Cancelled,0,500,@1.17,,GTC,01/08/2021 09:32:37 EST,
Oblong Inc,OBLG,Buy,Filled,80,80,@5.00,5.00,DAY,01/07/2021 12:35:29 EST,01/07/2021 12:46:19 EST
Perion Network,PERI,Buy,Filled,10,10,@13.95,13.95,DAY,01/07/2021 12:25:49 EST,01/07/2021 12:25:49 EST
Trident Acquisitions,TDAC,Sell,Filled,50,50,@12.09,12.09,DAY,01/07/2021 11:09:22 EST,01/07/2021 11:10:08 EST
Niu Technologies,NIU,Sell,Filled,13,13,@30.82,30.82,DAY,01/07/2021 10:19:16 EST,01/07/2021 10:19:34 EST
RING ENERGY,REI,Buy,Filled,500,500,@0.8914,0.8914,DAY,01/07/2021 09:18:46 EST,01/07/2021 09:53:33 EST
CyberOptics,CYBE,Buy,Filled,10,10,@24.00,24.00,DAY,01/06/2021 11:33:10 EST,01/06/2021 14:49:57 EST
AudioCodes,AUDC,Sell,Filled,30,30,@28.89,28.89,DAY,01/06/2021 11:31:59 EST,01/06/2021 11:32:00 EST
Canoo Inc,GOEV,Buy,Filled,10,10,@14.66,14.66,DAY,01/06/2021 11:03:30 EST,01/06/2021 11:04:00 EST
Niu Technologies,NIU,Sell,Filled,10,10,@29.42,29.42,DAY,01/06/2021 10:59:36 EST,01/06/2021 10:59:37 EST
Rada,RADA,Buy,Filled,10,10,@9.79,9.79,DAY,01/06/2021 10:55:55 EST,01/06/2021 14:40:42 EST
LITHIUM AMERS,LAC,Sell,Filled,30,30,@16.12,16.12,DAY,01/06/2021 10:16:32 EST,01/06/2021 10:16:33 EST
Canoo Inc,GOEV,Buy,Filled,20,20,@14.55,14.55,DAY,01/06/2021 10:07:25 EST,01/06/2021 10:07:25 EST
Array Technologies  Inc.,ARRY,Buy,Filled,5,5,@45.80,45.80,DAY,01/06/2021 10:01:12 EST,01/06/2021 10:01:55 EST
QuantumScape Corp,QS,Buy,Filled,15,15,@57.26,57.26,DAY,01/06/2021 05:44:28 EST,01/06/2021 05:45:01 EST
Stable Road Acquisition Corp,SRAC,Buy,Filled,20,20,@15.95,15.95,DAY,01/05/2021 12:10:48 EST,01/05/2021 12:10:49 EST
Canoo Inc,GOEV,Buy,Filled,20,20,@14.29,14.29,DAY,01/05/2021 11:57:45 EST,01/05/2021 11:59:21 EST
EMCORE,EMKR,Buy,Filled,50,50,@5.23,5.23,DAY,01/05/2021 11:50:19 EST,01/05/2021 12:18:21 EST
Stable Road Acquisition Corp,SRAC,Buy,Filled,50,50,@15.62,15.62,DAY,01/05/2021 10:57:21 EST,01/05/2021 11:25:16 EST
AGEAGLE AERIAL,UAVS,Buy,Filled,100,100,@6.00,6.00,DAY,01/05/2021 10:16:31 EST,01/05/2021 10:19:54 EST
EHang Holdings Ltd,EH,Buy,Filled,20,20,@23.34,23.34,DAY,01/05/2021 09:44:58 EST,01/05/2021 09:46:05 EST
